population,average_monthly_income,daily_foot_traffic,nearby_competitors,monthly_rent,distance_to_mall_km,nearby_retail_stores,estimated_monthly_customers,average_purchase_value,monthly_operating_cost,local_demand_score,target_age_group_score,profitable
431909,9259.78,3735,12,10780.58,14.02,125,1049,358.12,11893.77,9.8,2.8,1
475148,3844.27,5076,7,2213.64,11.73,37,1171,181.22,13104.95,8.4,3.8,1
268795,8239.53,1600,8,7771.94,9.69,110,417,377.4,20196.64,7.9,4.1,0
496232,7491.82,9364,1,12420.46,1.84,34,2657,219.53,14043.75,2.6,8.3,1
402752,7464.97,9208,6,11566.2,5.67,130,920,283.44,17375.16,4.0,8.0,0
166730,8461.58,19416,8,8688.45,2.17,40,2333,331.4,18554.83,4.4,3.3,1
356622,7258.01,24654,8,9151.91,13.23,129,3500,231.19,13050.44,5.4,1.5,1
394681,10732.18,20554,11,5308.62,11.27,128,3500,423.3,18216.83,1.3,7.9,1
159503,8593.59,17665,4,9661.77,11.39,122,3229,351.14,21279.47,6.3,4.7,1
140523,7243.11,14939,0,19111.84,9.82,127,3500,315.67,18638.28,4.2,3.0,1
12747,10212.51,20407,5,17158.61,7.65,41,2547,412.36,16083.09,6.1,2.1,1
133855,7864.54,12250,14,3759.42,2.33,65,2266,270.53,17701.5,1.1,1.1,0
462366,4557.01,23015,15,1565.83,5.01,100,3500,282.88,15686.84,3.9,4.8,1
75725,3674.5,21666,7,18736.96,2.14,124,3500,188.44,22479.28,7.9,4.1,1
139981,3099.44,10281,0,11008.25,10.9,16,1497,151.61,11463.92,5.5,7.3,1
94654,10944.28,5495,1,11218.92,2.49,126,1106,488.01,19020.52,8.1,9.8,1
438989,8956.42,18385,12,15833.64,10.56,39,2136,370.49,18481.24,7.3,2.9,1
391490,11342.47,12486,12,6979.09,10.41,71,2702,518.01,19760.67,8.7,3.2,1
77435,7834.56,13010,15,10156.24,6.94,42,3500,316.23,20455.6,1.1,4.0,1
329030,6470.71,19964,0,19404.6,2.11,28,3019,258.92,25000.0,3.4,5.2,1
338947,2127.02,9768,4,13770.83,4.79,85,2962,116.84,16715.21,5.9,7.3,1
41551,8552.24,1002,1,3921.16,4.87,76,334,420.91,14253.42,9.5,4.2,0
388360,7613.19,10031,15,3531.31,10.54,83,821,380.13,8584.24,7.1,1.9,1
283538,11897.19,20769,14,4881.03,1.79,118,3500,505.53,6394.03,5.1,7.6,1
341236,4011.17,8509,9,15567.52,12.45,49,1162,186.28,21063.67,2.2,8.2,0
13890,7072.74,17507,9,6612.16,11.44,129,1971,317.71,13642.63,5.4,3.2,1
51606,8335.05,12042,13,1406.39,2.88,100,2894,382.68,13044.19,5.0,2.2,1
499492,8268.21,17934,3,18939.31,10.82,17,3500,395.66,25000.0,8.0,5.8,1
266840,7393.58,24269,0,4224.55,10.06,114,3500,283.91,9987.73,4.7,2.9,1
483254,9657.74,22965,6,1181.61,11.25,10,1648,452.21,8788.44,3.9,4.4,1
359457,3652.3,22368,7,5505.5,2.92,101,3500,163.24,12519.61,1.8,8.0,1
151699,9119.09,20656,4,5465.55,2.45,75,3500,397.31,10587.35,1.4,3.0,1
280936,8007.21,20800,1,9018.1,3.62,51,2943,389.39,18878.51,5.0,8.3,1
249931,10908.79,20902,7,18487.41,5.55,97,3500,473.7,23577.24,4.1,7.1,1
249629,10395.54,18213,0,17704.51,11.93,105,1245,461.62,25000.0,6.0,3.0,0
215041,4809.04,13935,14,9681.0,11.1,48,2254,172.89,18198.84,7.4,5.7,0
184073,4400.49,4614,6,8807.1,13.89,36,1000,250.94,11800.34,1.4,6.5,0
217624,11807.36,14068,0,11545.17,0.97,7,3027,507.08,13378.65,5.5,2.8,1
427113,7036.28,3867,11,5625.63,0.27,88,474,287.75,11341.5,8.8,2.3,0
78148,11017.42,8595,5,1991.51,10.52,8,2519,495.75,8103.25,5.1,5.8,1
262801,3220.75,5641,12,18845.26,4.26,149,844,258.22,22368.92,5.7,7.2,0
134243,8249.6,4451,5,4547.28,5.08,92,1042,271.54,8024.51,5.4,5.2,1
261995,10003.53,21968,14,4769.61,8.25,110,3108,359.95,18532.58,4.5,1.6,1
392318,11447.65,15387,4,9976.75,1.63,109,2886,592.17,11875.63,2.0,9.3,1
164555,5042.07,2073,14,10340.65,9.68,40,253,223.02,18756.95,2.1,7.3,0
396502,9112.3,13859,1,1350.25,4.94,62,3463,374.04,3250.1,2.6,6.6,1
58555,7157.54,19518,1,3811.14,9.53,12,3500,280.53,10339.41,8.1,6.8,1
266508,2136.6,3268,8,8184.94,12.53,90,212,145.89,12567.34,3.5,4.6,0
289303,8745.0,5802,4,13990.88,2.65,101,397,480.36,18159.02,9.5,9.9,1
382654,8746.01,14246,4,5339.95,13.97,63,2868,316.58,12746.97,8.3,2.2,1
116530,11271.37,23134,6,9037.27,8.01,34,2660,446.01,17034.69,7.2,7.7,1
90077,6721.78,1711,5,11589.56,13.85,105,403,251.33,18857.3,7.5,4.8,0
308064,3917.63,15945,1,17883.26,3.2,71,2909,193.35,24505.89,1.4,8.9,1
495283,1967.92,22839,10,7195.34,9.11,136,3500,139.84,18735.39,6.1,7.5,1
470337,5864.24,16315,0,3537.61,6.12,97,3500,315.62,16357.41,9.5,6.1,1
210551,4670.13,1660,15,10296.17,11.64,67,363,225.14,19821.19,1.4,9.4,0
492691,9491.43,22861,4,15187.71,9.13,36,3500,505.62,15176.42,3.6,9.2,1
291601,5219.81,7541,3,3087.34,7.47,91,2156,180.05,16966.67,1.5,1.5,0
469773,11465.25,19267,11,9068.99,13.7,55,3500,416.88,21571.37,6.1,2.7,1
218261,11604.26,11346,2,1337.92,5.72,67,1409,537.64,12322.49,2.0,7.1,1
250181,8019.54,6376,1,1637.62,3.38,84,1965,326.92,10036.8,5.3,9.3,1
351097,11250.93,20424,9,10176.11,9.16,91,3500,381.24,13398.93,7.5,4.9,1
325139,9488.97,13389,1,6665.75,9.4,114,2381,363.76,17165.16,2.5,1.3,1
181829,7242.03,14382,13,17057.04,6.64,105,2217,302.46,25000.0,7.8,6.8,1
281836,3393.23,15238,14,12440.93,7.35,133,3500,103.42,20600.18,1.5,2.8,0
448974,6315.28,21519,3,9624.73,14.4,23,3500,201.88,17877.73,2.3,6.0,1
475625,7389.18,1595,1,8750.77,11.02,105,278,285.19,11509.68,3.5,4.5,0
212283,10571.6,6401,3,10447.66,1.75,98,1905,369.64,15009.48,8.2,6.0,1
206769,6554.0,8715,2,1768.34,3.26,85,1319,293.92,12815.44,8.7,9.4,1
47065,10925.58,13411,8,17963.07,14.64,107,1514,339.83,16590.14,3.0,5.4,0
233165,8580.66,14623,6,19967.76,10.92,117,3264,347.75,25000.0,1.9,1.3,1
109299,2938.49,1579,13,4448.26,13.73,17,363,143.52,15525.32,8.6,6.2,0
435822,11947.3,13010,12,3287.28,4.63,122,3500,473.36,8980.98,6.8,3.9,1
21534,7035.94,19731,10,3727.97,11.15,90,3500,336.1,5972.56,2.4,8.0,1
497879,5614.51,18844,14,13559.51,10.74,27,3500,156.05,23496.16,6.0,5.2,1
50397,8420.69,1973,11,13567.38,4.49,111,303,301.77,14697.78,8.9,7.7,0
267750,2643.38,5388,2,17110.56,8.31,16,1253,89.23,20508.86,1.6,9.2,0
363531,8183.66,5479,12,15284.7,9.45,141,671,362.98,23422.06,1.8,4.3,0
273160,6731.48,1712,14,9544.1,7.27,82,301,280.18,20256.1,3.5,9.9,0
493005,5770.08,22581,13,12644.25,12.42,71,3500,337.97,23326.36,6.9,2.3,1
65591,11506.71,9501,7,14077.41,12.51,112,1186,419.98,20157.35,2.6,6.8,0
230884,6986.67,13748,8,10741.99,12.77,48,3500,209.72,16779.92,8.3,1.3,1
33247,3800.73,919,12,10037.37,12.07,11,133,241.48,21058.02,7.8,2.9,0
34300,6319.12,16108,6,13256.85,7.37,132,1133,181.22,19925.48,6.0,6.7,0
477281,11153.57,4159,5,11592.02,5.78,101,387,480.3,18796.08,2.0,1.4,0
92798,3349.0,5783,3,13234.9,12.49,15,1641,85.03,18229.57,9.9,1.9,0
19268,3746.55,11215,4,12644.24,7.4,110,1555,46.4,16961.97,5.4,3.6,0
358951,1636.81,16665,7,14664.73,3.77,87,3500,46.73,19978.82,5.1,6.2,0
284329,1649.0,1840,2,13213.27,7.66,40,496,110.93,17313.63,10.0,1.1,0
204776,10208.61,15305,1,10875.11,2.21,122,2503,347.26,15166.19,8.8,5.3,1
227851,9187.29,11084,2,13954.14,10.41,45,2244,396.3,25000.0,5.1,6.6,1
442315,5227.93,15280,11,9540.16,5.11,96,2768,247.26,14002.9,4.8,4.6,1
411787,8832.27,5637,6,5591.75,3.98,53,1940,289.71,9806.39,1.9,1.6,1
246584,5649.66,22073,7,1026.95,14.35,147,3443,214.6,7422.57,9.3,6.5,1
48044,11505.42,18245,0,11639.32,11.68,145,2098,539.07,18991.61,8.6,6.5,1
323358,11654.05,1091,12,12222.45,11.83,57,185,498.69,23620.84,3.8,5.6,0
464444,5624.33,1026,6,19468.93,9.39,111,268,211.9,25000.0,7.8,7.2,0
386896,10469.33,8355,8,7868.09,12.6,37,2249,439.54,19243.61,7.9,2.9,1
58984,9617.43,11195,11,8488.53,11.41,123,3500,350.43,19957.94,3.1,7.1,1
312918,4755.0,1792,12,4834.19,9.02,36,582,245.88,17834.22,6.5,2.5,0
274712,3936.42,18538,13,2340.15,14.42,122,2716,213.12,6928.05,3.3,4.5,1
130151,6311.46,17071,13,15683.29,2.95,66,3355,258.5,20505.39,8.1,1.6,1
465808,9704.16,19642,14,5743.94,14.16,86,3500,399.7,11602.72,2.4,8.4,1
470779,11581.76,9125,2,12569.19,6.08,134,3057,413.33,17019.75,7.0,5.8,1
143767,9517.58,6931,14,14067.69,7.97,81,1117,313.1,21733.84,3.9,9.7,0
134375,10479.67,22921,2,9953.5,1.93,20,3500,400.36,15186.24,1.3,9.5,1
189262,7832.18,16426,7,17650.69,8.15,127,3500,308.92,24132.85,2.1,10.0,1
146330,10271.78,12204,3,9432.1,9.21,12,2045,464.0,14515.31,6.9,1.9,1
490754,9736.42,21066,13,6413.26,14.97,71,3500,435.58,11175.27,3.2,6.5,1
311648,5458.35,23857,7,18024.29,14.63,119,3500,227.58,21009.44,6.7,4.7,1
174231,7295.9,937,4,17369.72,14.5,117,282,351.36,25000.0,4.7,5.8,0
23986,9949.91,11280,13,4116.76,5.29,36,1501,350.82,13107.07,7.2,3.8,1
71858,1983.6,17716,2,1493.26,14.87,109,2789,133.21,15856.58,5.4,1.4,0
139312,9984.83,9488,14,2709.73,6.89,29,1574,359.87,14992.31,3.8,7.4,1
22666,3367.83,9453,3,6444.4,12.79,57,3156,196.7,13470.67,2.3,9.7,1
310804,6904.18,6294,13,19472.94,3.32,85,2264,275.5,20729.24,4.1,5.8,0
144633,9986.89,4074,15,11611.81,7.64,29,1190,299.56,20050.27,6.7,4.0,0
298998,4165.12,20669,3,8091.97,14.49,37,3500,203.11,17919.97,7.7,9.4,1
336649,4080.98,22104,7,17885.61,14.21,35,1394,203.72,22342.78,2.4,4.3,0
114488,5729.03,24634,5,9609.59,10.29,40,3500,206.33,12676.66,7.0,9.2,1
193323,10893.75,16801,6,6989.53,11.99,91,2971,417.19,14835.72,2.6,8.7,1
294806,1504.65,23702,8,18883.17,2.73,127,3500,52.21,20406.32,3.0,5.8,0
280536,10964.52,1184,14,17140.84,10.85,48,287,342.32,25000.0,5.8,7.1,0
40535,3114.97,4733,5,17029.7,9.31,52,967,40.0,23799.26,3.6,7.3,0
481819,11895.91,17461,2,10733.41,1.46,17,3500,540.92,14381.83,7.0,6.8,1
385713,11525.89,13497,14,15999.33,1.79,148,904,419.83,17603.96,9.6,2.4,0
324400,6694.09,8507,12,4407.71,1.72,95,2328,360.53,14843.57,2.3,7.2,1
361279,6883.56,17111,2,11891.24,10.89,135,3130,343.86,20714.3,6.1,1.0,1
399622,6556.27,2828,10,19693.07,2.21,147,775,340.61,25000.0,9.3,7.4,0
307366,8172.16,19615,2,6528.21,7.07,70,3500,294.37,15208.48,2.6,6.0,1
87373,2452.58,9519,11,16092.69,5.42,32,600,40.0,22724.45,4.3,3.3,0
482791,1842.49,17314,9,10319.09,8.3,129,2521,40.0,14936.62,2.1,8.2,0
133684,2105.88,9755,1,1756.31,10.63,84,1139,61.91,15591.44,6.8,4.6,0
499570,6165.84,18593,0,15497.37,10.3,136,2047,127.97,20628.52,7.0,5.4,0
487867,4393.25,6282,15,4202.81,7.78,76,1750,151.96,5626.51,7.0,1.2,1
466551,8031.42,1734,15,12998.0,7.02,48,229,311.17,16927.1,5.9,4.6,0
283109,11920.64,5705,10,2627.62,6.03,123,1155,412.1,5795.77,7.7,2.5,1
34538,5556.39,1920,9,18990.48,12.94,50,257,170.23,21916.37,1.3,3.5,0
380210,7525.33,17652,0,6542.75,5.03,88,3500,289.98,15141.61,9.6,3.3,1
211664,5863.84,22918,3,5302.83,3.96,30,3500,252.37,6536.9,3.0,1.4,1
385396,10396.35,10096,2,3453.59,11.18,100,1609,371.31,16075.48,2.1,5.1,1
149182,10973.48,19988,4,18974.04,5.46,17,3500,453.55,25000.0,9.5,5.7,1
482525,10712.23,4855,11,14526.17,12.72,129,1493,435.33,17460.77,8.5,6.1,1
168338,11730.91,20189,8,15091.56,4.99,73,1782,471.58,18118.92,7.9,5.2,1
194064,1788.95,18422,11,10488.69,10.56,55,3500,40.0,16444.64,1.9,8.8,0
224020,10318.07,18215,12,10019.83,0.77,17,2859,346.05,13241.06,8.3,1.3,1
108806,9393.61,23823,7,3090.4,5.84,143,2306,460.57,4528.77,6.5,6.5,1
410126,3901.29,8761,11,11636.98,5.21,64,1960,187.57,11654.83,7.6,8.8,1
383133,11541.36,14265,8,5691.41,12.27,36,1824,511.94,11203.76,9.8,1.4,1
100982,3055.87,22442,15,19565.76,14.51,22,3500,118.05,19267.49,2.7,5.5,0
131626,8635.27,6444,15,16135.04,6.97,97,470,337.21,15198.76,5.5,6.3,0
129176,3861.35,7626,15,8846.85,12.39,48,683,178.99,20247.98,7.8,2.7,0
403422,6029.5,17364,12,3875.48,10.53,41,3500,149.45,8664.17,4.9,3.3,1
228126,9051.18,5763,4,15921.3,14.51,131,1364,306.32,21277.63,1.5,8.1,0
228969,7414.91,20978,7,3319.02,12.19,23,3500,256.71,6987.53,2.0,6.1,1
132409,5988.77,23051,3,4597.34,1.25,36,3176,216.82,6285.3,6.4,3.8,1
33419,4926.55,15800,4,5018.89,10.73,110,3500,153.08,15698.37,3.6,7.9,1
453852,10316.43,3293,14,11580.92,8.08,26,1139,429.3,12889.18,2.2,7.7,1
263618,3010.05,3392,11,15954.08,0.34,126,711,124.47,15097.58,4.1,4.1,0
255310,6016.08,1698,2,6971.98,3.84,133,489,310.29,15211.58,2.8,5.4,0
60015,10989.45,24895,4,2608.73,13.83,58,3500,563.27,4262.06,1.2,7.0,1
258550,10381.42,19256,11,9826.23,13.9,62,1557,352.11,15532.7,2.4,4.1,0
132096,5709.89,18776,2,15214.09,12.0,74,2963,235.76,17926.14,8.9,6.7,1
117059,9512.64,22674,4,5211.61,14.73,67,1956,387.78,10321.72,1.1,3.3,1
195340,10143.19,2383,10,5178.57,12.12,7,850,405.02,6193.54,8.0,3.6,1
120687,10833.32,22351,13,18997.31,0.25,103,2877,379.09,25000.0,7.8,3.8,1
360083,7217.31,1297,4,19128.92,4.39,49,325,242.83,24023.66,6.1,9.4,0
421357,3646.84,8709,5,19818.85,0.56,147,1265,157.89,25000.0,2.9,8.5,0
221428,4180.75,8735,8,16345.53,1.5,21,2236,119.96,23736.02,8.9,6.1,0
115878,4604.79,17038,0,4575.5,3.36,147,2098,192.16,16028.18,5.3,6.1,1
212982,7734.93,21846,11,5027.65,7.6,9,3500,297.1,13924.94,2.6,1.5,1
459260,1844.5,15757,9,7464.28,12.73,15,1469,80.86,17880.0,4.9,6.8,0
208286,8178.45,20964,13,7044.52,12.94,96,3500,279.47,13469.17,2.8,4.0,1
259002,5325.72,8550,5,19174.03,9.28,146,2669,220.9,22165.8,4.4,6.5,1
260396,4600.04,6447,0,15992.41,13.93,43,1700,139.95,25000.0,5.5,8.6,0
174899,10734.71,10117,5,14756.17,7.55,46,812,437.42,25000.0,4.2,1.4,0
459036,6330.03,21204,1,4533.3,13.35,98,2599,320.17,7418.13,6.9,6.5,1
334767,2498.06,2392,7,18280.99,6.87,9,760,112.97,23679.37,9.4,6.1,0
484950,10180.84,3924,10,16729.54,4.23,56,379,423.33,24270.98,4.1,2.9,0
347594,2000.23,9950,2,4109.19,13.75,48,1062,120.87,6374.14,4.2,6.8,0
365570,9130.87,13918,9,17552.24,5.88,119,3107,295.06,25000.0,7.6,6.0,1
389989,9626.02,2515,13,6172.7,7.6,131,358,470.99,13699.59,5.8,7.9,0
425515,5202.33,23557,5,2536.53,5.0,120,2983,155.31,12420.17,4.9,2.0,1
53585,10160.27,22916,5,13479.62,9.98,72,3500,450.39,15100.85,8.3,5.0,1
381369,6914.42,5333,14,13422.29,14.93,51,916,313.92,16175.48,9.0,10.0,1
74044,6364.58,10394,3,2803.71,0.48,131,1062,209.47,5815.98,6.3,7.2,1
445773,1976.73,16442,4,7058.18,13.51,39,3500,129.51,11078.53,2.7,7.2,1
452296,4545.31,9565,1,19863.47,0.16,11,1684,206.7,24291.93,5.2,3.9,0
119556,11275.6,1065,9,13890.11,5.53,120,299,545.52,23949.27,5.5,1.8,0
12693,5614.15,7912,14,14871.43,2.61,56,719,234.23,20835.55,4.9,9.5,0
498219,7240.36,18902,9,5045.43,11.38,114,3500,284.19,9214.37,3.4,1.9,1
367403,7086.23,10577,7,2496.86,0.85,50,2020,257.71,4577.56,5.3,9.9,1
253307,7699.53,10815,15,6261.13,8.35,141,1966,220.81,15094.51,5.0,2.1,0
210235,2143.98,13334,9,5729.07,4.49,27,1729,69.85,12045.33,2.9,2.5,0
35939,5302.85,2814,6,5456.34,2.09,135,195,198.32,19161.67,9.1,3.8,0
452141,9092.85,4912,9,4662.33,11.6,131,1544,376.82,15866.74,9.0,5.6,1
446157,3605.88,4383,5,11920.36,3.34,13,692,73.08,22045.0,7.8,8.1,0
162906,3637.57,11884,6,7233.97,3.43,57,3141,133.55,7946.23,4.6,9.7,1
28047,1605.95,10551,11,16586.56,4.2,52,3500,93.05,25000.0,4.3,4.2,0
298249,6093.56,8716,0,4495.0,8.84,127,2000,277.52,8125.97,7.4,1.2,1
85766,10768.71,12195,13,9827.91,9.93,86,2185,337.76,17477.67,6.5,6.6,1
418923,2044.96,23623,15,1259.5,0.36,113,3319,117.12,8824.08,6.4,7.4,1
425192,3506.75,8402,13,10151.96,3.7,11,2858,127.94,17552.42,2.1,4.6,0
54262,4755.89,13687,4,2060.93,6.52,103,3500,180.99,5383.51,6.6,2.7,1
397261,9183.11,18073,6,19576.75,5.05,35,3500,249.1,23600.99,9.1,3.8,1
295920,8226.67,24040,15,16021.25,13.27,106,3500,403.75,15297.28,1.8,6.9,1
171152,5867.41,24226,0,10312.12,11.84,60,3500,243.54,10782.69,4.1,5.4,1
138376,9470.22,12788,1,2645.16,9.43,103,3500,302.24,12666.72,5.6,7.7,1
470058,7901.13,14710,8,12256.46,5.14,9,2132,334.81,24177.25,7.2,3.0,1
464589,10908.43,7384,11,15416.51,10.54,34,1771,453.56,24439.32,1.8,8.6,1
147848,10089.28,20041,2,4623.63,12.67,26,3500,464.7,11797.93,8.9,2.4,1
102787,4154.54,11059,5,11795.96,8.96,149,685,150.7,12163.09,1.4,4.0,0
137948,4350.11,22404,14,16470.01,11.79,142,3500,174.6,15761.27,8.7,6.3,1
65016,2816.24,18625,6,15596.71,11.26,31,1804,80.51,16529.97,1.2,7.6,0
412690,5038.13,4188,8,16256.85,8.62,131,892,231.42,25000.0,2.4,3.4,0
461269,11995.21,24369,4,17707.15,4.75,139,3500,440.63,21348.31,8.2,9.5,1
31959,5760.39,14614,15,18815.96,11.21,27,2377,185.77,25000.0,8.7,7.4,0
146602,3815.13,5869,3,8704.9,3.18,79,1193,149.22,18130.77,9.8,3.0,0
235928,9506.07,22528,10,11806.61,11.71,121,3500,318.95,19315.86,2.0,7.5,1
391245,7195.95,12438,11,16022.53,12.09,140,2270,367.94,25000.0,5.7,7.3,1
275892,3070.82,4523,14,14245.66,12.35,12,519,219.2,16391.88,1.7,7.8,0
238576,5497.24,16482,1,19914.88,7.15,105,3500,197.21,23845.47,2.4,9.2,1
23545,5851.93,17600,2,1259.88,2.97,9,2304,164.75,14249.3,2.6,7.4,1
399803,9415.21,4467,15,7747.53,1.59,90,409,393.44,15370.92,1.6,4.2,0
469415,1717.05,7923,15,6339.53,11.18,134,595,44.58,10275.41,9.0,8.1,0
175838,4324.71,6950,14,5984.0,13.31,16,465,231.72,9503.11,2.1,7.3,0
345674,6934.76,12713,4,5228.07,9.8,51,2407,238.03,15969.91,6.7,6.2,1
365701,4322.89,3715,10,14473.35,2.25,30,698,200.14,13744.94,6.6,4.2,0
71087,8098.56,24709,14,2610.43,14.03,106,2858,329.64,15972.84,2.8,9.3,1
499055,6559.61,890,12,15090.57,14.84,124,263,228.57,14311.89,10.0,5.6,0
78840,5297.96,19921,1,14175.09,6.56,74,1968,223.92,21542.93,4.1,6.7,0
128451,11466.69,732,12,5765.28,8.96,6,245,502.59,14473.95,9.1,4.7,0
457600,8137.67,20015,3,5803.84,11.68,30,3500,329.85,14162.42,9.5,8.0,1
323149,2864.38,8134,0,12948.35,11.07,18,555,119.44,18525.14,9.5,4.1,0
449792,7380.96,11998,3,15481.25,14.52,86,3500,251.6,25000.0,7.8,8.3,1
49353,9697.68,11416,15,17653.23,1.81,106,1740,445.12,24693.91,3.3,2.0,0
203075,8939.14,733,6,17190.65,8.75,36,143,409.79,25000.0,2.1,7.4,0
224283,3306.94,1891,14,19332.78,10.41,66,275,111.75,18968.01,6.1,5.3,0
324877,11710.41,11584,13,12046.31,13.36,119,3226,462.2,12285.73,4.2,7.3,1
75318,6212.54,9947,11,18264.46,13.12,34,2046,319.21,16982.44,8.5,5.8,1
251025,3169.76,14684,2,16361.75,14.67,145,1464,70.11,17003.08,7.7,2.2,0
492690,3392.06,12382,15,17998.68,7.73,35,1130,165.9,25000.0,3.5,5.3,0
426880,2531.47,15338,9,1220.91,12.48,41,3500,73.33,9399.01,1.2,9.7,0
77172,9936.94,17773,7,19352.16,6.47,106,2330,486.38,25000.0,3.1,7.8,1
226688,2781.32,8402,5,9997.07,6.39,132,851,114.43,12490.15,6.1,3.7,0
266951,2813.82,13379,5,16165.48,3.87,90,2807,175.57,19702.9,1.7,9.5,0
103264,10429.95,17629,13,3416.88,12.29,63,3500,379.13,16283.97,6.9,8.0,1
256458,5118.34,10411,14,8522.88,14.79,32,1495,142.31,20982.59,7.0,4.3,0
298880,1824.01,927,0,6157.75,3.92,126,132,61.25,18908.68,2.5,6.4,0
235281,2044.9,1231,4,6541.52,0.94,65,382,94.93,17871.18,6.4,4.8,0
122859,2992.79,1299,2,3341.86,12.25,20,136,94.18,13620.55,6.5,1.9,0
384325,3740.63,23391,15,16309.51,9.34,73,3500,187.54,25000.0,5.3,8.3,1
404070,8484.04,7525,14,1175.6,14.4,48,2607,328.86,12224.84,9.6,2.7,1
362228,3151.93,14981,15,6937.6,3.86,117,3500,40.0,19951.25,2.0,5.1,0
441839,2748.18,8124,9,4313.8,1.16,142,638,137.57,5773.29,4.7,7.3,1
279536,9529.55,15461,14,12191.74,7.44,23,2412,337.06,23734.74,8.9,9.4,1
327824,8546.08,22267,0,5830.8,1.37,88,2287,323.76,13889.27,4.5,1.6,1
267426,6070.9,23091,7,5920.97,4.0,97,3500,320.49,8190.15,4.8,4.5,1
187789,7267.75,19422,6,10278.42,1.98,145,3500,379.35,13016.58,7.0,6.5,1
228164,4775.83,20602,6,13401.09,3.44,148,2689,162.26,23798.94,7.0,8.0,1
323003,6566.25,8732,11,3304.79,1.68,104,2278,291.54,11223.35,1.2,9.3,1
135657,6820.06,3867,9,4334.72,14.31,43,1208,245.19,18244.41,5.1,1.0,0
245167,5565.99,21892,13,5696.32,4.25,71,2848,208.3,8084.96,4.0,6.6,1
167381,11019.01,13762,9,19501.22,6.71,77,1601,410.47,22963.52,6.6,1.1,0
490671,1668.65,5729,9,8545.9,13.49,54,363,40.0,13151.09,6.0,8.1,0
204806,9712.8,24272,3,12380.81,10.19,57,3500,393.26,18614.41,6.9,2.3,1
80467,2806.02,19299,12,5589.31,9.31,50,3500,126.65,14706.14,6.9,9.1,1
193734,9874.25,14247,14,10318.73,10.61,56,3500,361.42,18856.17,3.3,2.4,1
